Job Title,Company Name,Language and Tools,City,Province,Type of Work,Seniority
Research Analyst (Green Infrastructure),Toronto and Region Conservation Authority (TRCA),"R, Python, C#, Excel, Julia, C",Concord,ON,In Person,Not Applicable
FP&A Business Analyst,CGI,Unknown,Toronto,ON,In Person,Not Applicable
Operations Analyst (Business Operations),Western University,"Excel, Database",London,ON,In Person,Not Applicable
"Senior Analyst, Fraud Strategy & Analytics",EQ Bank | Equitable Bank,"Tableau, Sql, Power Bi, Python, R",Toronto,ON,In Person,Senior
FP&A Business Analyst,CGI,Unknown,Toronto,ON,In Person,Not Applicable
Operations Analyst (Business Operations),Western University,"Excel, Database",London,ON,In Person,Not Applicable
Senior Business Analyst,Fraser Health,Unknown,Surrey,BC,In Person,Senior
"Business Analyst Consultant, Savings & Retirement (S&R)",Equitable CA,R,Waterloo,ON,In Person,Not Applicable
business systems analyst,Rubinza Inc.,Database,Richmond Hill,ON,In Person,Not Applicable
Intern - CRM Analyst (Fall 2024),Senators Sports & Entertainment,"Database, Excel",Ottawa,ON,In Person,Not Applicable
business analyst - computer systems,APITable Ltd.,"Html, Github",Markham,ON,In Person,Not Applicable
Industrial Process Analyst,Spectra Aluminum Products,"Power Bi, Tableau, Qlikview",Bradford,ON,In Person,Not Applicable
Pricing Analyst,Ventura Foods,Excel,Etobicoke,ON,In Person,Not Applicable
business systems analyst,Gold Valley Daycare & Osc,Unknown,Leduc,AB,In Person,Not Applicable
"Analyst, Network-GIS-NS&UC S",Apotex Inc.,"Excel, R",North York,ON,In Person,Not Applicable
"Business Systems Analyst, Capital Markets Technology, Hybrid",Scotiabank,"Sql, Html, Excel, Perl, Gap, Shell, Java, Python",Toronto,ON,In Person,Not Applicable
Senior Business Systems Analyst,Royal Bank of Canada,"Jira, Sql, Confluence",Toronto,ON,In Person,Senior
Senior Business Systems Analyst,The Maples Group (Financial Services),"Gap, Excel",Montreal,QC,In Person,Senior
Strategic Sourcing Analyst,SGS,Excel,Mississauga,ON,In Person,Not Applicable
Business Systems Analyst (Network Services),City of London,Unknown,London,ON,In Person,Not Applicable
